tag_id,species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,age_group,sex,colony_id,island,capture_date,health_status,study_name,clutch_completion,date_egg,is_duplicate
UNKNOWN,Gentoo,48.99,14.11,220.9,5890.0,Adult,MALE,Torgersen North,Torgersen,2023-11-17,UNKNOWN,PAPRI2023,yes,2023-11-09,True
UNKNOWN,Gentoo,48.99,14.11,220.9,5890.0,Adult,MALE,Torgersen North,Torgersen,2023-11-17,UNKNOWN,PAPRI2023,yes,2023-11-09,True
ADE-0001,Adelie,39.55,19.92,186.2,2500.0,Chick,MALE,Biscoe West,Biscoe,1900-01-01,Underweight,PAPRI2022,yes,2022-07-20,True
UNKNOWN,Gentoo,48.23,13.0,199.315,4536.0,Adult,FEMALE,Biscoe West,UNKNOWN,2024-04-14,Healthy,UNKNOWN,yes,2024-04-12,False
GEN-0001,Gentoo,46.22,13.91,212.8,2500.0,Juvenile,FEMALE,Dream South,Dream,1900-01-01,Underweight,PAPRI2020,yes,2020-04-14,True
UNKNOWN,Chinstrap,49.02,16.22,192.2,3735.0,Adult,MALE,Biscoe West,Biscoe,2022-10-03,Healthy,PAPRI2022,yes,2022-10-02,True
UNKNOWN,Gentoo,45.7,15.94,218.7,3842.084374791102,Adult,MALE,Torgersen North,Torgersen,2021-10-10,Healthy,PAPRI2021,yes,2021-10-10,False
GEN-0002,Gentoo,45.16668133802817,17.485,188.13,3790.0,Juvenile,MALE,Dream South,Biscoe,2024-08-09,Healthy,PAPRI2024,yes,2024-07-30,False
CHN-0001,Chinstrap,57.97,20.41,197.5,3982.0,Adult,MALE,UNKNOWN,Torgersen,2023-09-07,Healthy,PAPRI2023,UNKNOWN,1900-01-01,False
GEN-0003,Gentoo,45.16668133802817,14.44,208.1,4476.0,Adult,MALE,Torgersen North,Torgersen,2021-04-05,Healthy,PAPRI2021,no,1900-01-01,False
UNKNOWN,Adelie,33.22,17.08,182.7,3740.0,Adult,MALE,Biscoe West,Shortcut,2021-01-12,Healthy,PAPRI2021,yes,2021-01-06,False
UNKNOWN,Chinstrap,46.57,19.48,203.2,3998.0,Juvenile,MALE,Torgersen North,UNKNOWN,2023-10-10,Healthy,PAPRI2023,yes,2023-10-04,False
UNKNOWN,Gentoo,46.88,17.485,208.0,3842.084374791102,Juvenile,MALE,Dream South,Dream,2023-12-08,UNKNOWN,PAPRI2023,yes,2023-12-02,True
UNKNOWN,Chinstrap,45.15,17.485,201.7,4134.0,Adult,MALE,Torgersen North,Torgersen,2020-04-04,Healthy,PAPRI2020,no,1900-01-01,False
UNKNOWN,Gentoo,44.39,14.19,222.8,5318.0,Adult,MALE,Torgersen North,Torgersen,2021-11-27,Healthy,PAPRI2021,yes,2021-11-19,False
UNKNOWN,Chinstrap,48.68,21.0,177.7,4161.0,Adult,MALE,Shortcut Point,Shortcut,2023-07-28,Overweight,PAPRI2023,UNKNOWN,2023-07-16,False
GEN-0004,Gentoo,43.24,16.05,222.4,4206.0,Juvenile,MALE,Cormorant East,Dream,2023-10-18,Healthy,UNKNOWN,UNKNOWN,2023-10-10,False
ADE-0002,Adelie,42.79,17.62,184.7,2840.0,Juvenile,MALE,Dream South,UNKNOWN,2024-06-19,Underweight,PAPRI2024,no,1900-01-01,False
CHN-0002,Chinstrap,45.16668133802817,20.35,197.8,3801.0,Adult,MALE,Cormorant East,Cormorant,2022-09-21,Overweight,UNKNOWN,UNKNOWN,2022-09-14,False
ADE-0003,Adelie,39.06,17.485,185.4,3602.0,Adult,MALE,Torgersen North,UNKNOWN,1900-01-01,Healthy,PAPRI2024,yes,2024-03-26,False
GEN-0005,Gentoo,51.32,14.45,201.1,3237.0,Juvenile,MALE,Shortcut Point,Shortcut,2024-01-05,Healthy,PAPRI2024,yes,2023-12-26,False
CHN-0003,Chinstrap,47.67,17.22,194.9,3063.0,Juvenile,MALE,Shortcut Point,Shortcut,2023-02-24,Underweight,PAPRI2023,yes,2023-02-16,False
